Pair,Exe1,Time1,Exe2,Time2
[./2mm,./3mm],./2mm,88.19,./3mm,146.37
[./2mm,./adi],./adi,226.46,./2mm,92.33
[./2mm,./atax],./atax,0.48,./2mm,91.24
[./2mm,./bicg],./bicg,0.45,./2mm,91.55
[./2mm,./cholesky],./2mm,93.21,./cholesky,704.68
[./2mm,./correlation],./correlation,87.71,./2mm,99.56
[./2mm,./covariance],./covariance,87.16,./2mm,99.47
[./2mm,./deriche],./2mm,96.68,./deriche,6.53
[./2mm,./doitgen],./2mm,81.27,./doitgen,17.44
[./2mm,./durbin],./2mm,78.85,./durbin,0.08
[./2mm,./fdtd-2d],./fdtd-2d,95.64,./2mm,104.96
[./2mm,./floyd-warshall],./floyd-warshall,167.81,./2mm,96.60
[./2mm,./gemm],./gemm,44.70,./2mm,89.76
[./2mm,./gemver],./gemver,0.92,./2mm,95.16
[./2mm,./gesummv],./2mm,92.35,./gesummv,0.25
[./2mm,./gramschmidt],./2mm,89.29,./gramschmidt,120.81
[./2mm,./heat-3d],./heat-3d,146.91,./2mm,94.59
[./2mm,./jacobi-1d],./jacobi-1d,0.07,./2mm,86.96
[./2mm,./lu],./2mm,94.27,./lu,298.43
[./2mm,./ludcmp],./ludcmp,285.36,./2mm,97.72
[./2mm,./mvt],./2mm,93.65,./mvt,0.72
[./2mm,./nussinov],./2mm,91.05,./nussinov,189.87
[./2mm,./symm],./2mm,90.12,./symm,75.01
[./2mm,./syr2k],./2mm,86.05,./syr2k,247.42
[./2mm,./syrk],./2mm,83.41,./syrk,39.29
[./2mm,./trisolv],./trisolv,0.21,./2mm,94.03
[./2mm,./trmm],./2mm,85.17,./trmm,44.36
[./3mm,./adi],./adi,212.01,./3mm,160.88
[./3mm,./atax],./3mm,145.48,./atax,0.49
[./3mm,./bicg],./bicg,0.45,./3mm,149.67
[./3mm,./cholesky],./3mm,154.96,./cholesky,709.68
[./3mm,./correlation],./3mm,153.68,./correlation,89.89
[./3mm,./covariance],./3mm,153.46,./covariance,89.96
[./3mm,./deriche],./3mm,159.17,./deriche,6.57
[./3mm,./doitgen],./doitgen,16.98,./3mm,137.98
[./3mm,./durbin],./durbin,0.08,./3mm,141.98
[./3mm,./fdtd-2d],./fdtd-2d,97.21,./3mm,169.44
[./3mm,./floyd-warshall],./3mm,154.20,./floyd-warshall,172.81
[./3mm,./gemm],./gemm,45.52,./3mm,145.13
[./3mm,./gemver],./3mm,147.93,./gemver,0.97
[./3mm,./gesummv],./3mm,148.88,./gesummv,0.25
[./3mm,./gramschmidt],./3mm,150.12,./gramschmidt,124.69
[./3mm,./heat-3d],./3mm,152.67,./heat-3d,156.08
[./3mm,./jacobi-1d],./jacobi-1d,0.07,./3mm,132.20
[./3mm,./lu],./lu,291.55,./3mm,158.43
[./3mm,./ludcmp],./3mm,148.97,./ludcmp,300.76
[./3mm,./mvt],./3mm,150.22,./mvt,0.71
[./3mm,./nussinov],./3mm,145.32,./nussinov,184.72
[./3mm,./symm],./symm,77.08,./3mm,155.51
[./3mm,./syr2k],./3mm,154.71,./syr2k,237.71
[./3mm,./syrk],./3mm,140.53,./syrk,38.98
[./3mm,./trisolv],./3mm,151.04,./trisolv,0.22
[./3mm,./trmm],./3mm,148.04,./trmm,43.26
[./adi,./atax],./adi,215.34,./atax,0.52
[./adi,./bicg],./adi,209.37,./bicg,0.47
[./adi,./cholesky],./adi,252.65,./cholesky,700.46
[./adi,./correlation],./adi,245.66,./correlation,94.92
[./adi,./covariance],./adi,250.93,./covariance,94.65
[./adi,./deriche],./adi,248.06,./deriche,7.01
[./adi,./doitgen],./adi,207.71,./doitgen,17.03
[./adi,./durbin],./adi,202.00,./durbin,0.08
[./adi,./fdtd-2d],./adi,255.81,./fdtd-2d,105.66
[./adi,./floyd-warshall],./adi,227.08,./floyd-warshall,180.79
[./adi,./gemm],./adi,206.22,./gemm,50.98
[./adi,./gemver],./adi,232.94,./gemver,1.00
[./adi,./gesummv],./adi,230.83,./gesummv,0.26
[./adi,./gramschmidt],./adi,242.55,./gramschmidt,134.65
[./adi,./heat-3d],./heat-3d,149.46,./adi,247.63
[./adi,./jacobi-1d],./adi,194.49,./jacobi-1d,0.07
[./adi,./lu],./adi,218.55,./lu,309.25
[./adi,./ludcmp],./adi,220.56,./ludcmp,297.19
[./adi,./mvt],./adi,234.44,./mvt,0.75
[./adi,./nussinov],./adi,218.04,./nussinov,188.80
[./adi,./symm],./adi,222.96,./symm,80.52
[./adi,./syr2k],./adi,214.65,./syr2k,274.79
[./adi,./syrk],./adi,221.51,./syrk,38.90
[./adi,./trisolv],./adi,218.35,./trisolv,0.23
[./adi,./trmm],./adi,211.04,./trmm,45.91
[./atax,./bicg],./bicg,0.45,./atax,0.49
[./atax,./cholesky],./atax,0.53,./cholesky,679.60
[./atax,./correlation],./atax,0.50,./correlation,87.99
[./atax,./covariance],./atax,0.50,./covariance,86.40
[./atax,./deriche],./atax,0.52,./deriche,6.40
[./atax,./doitgen],./doitgen,17.42,./atax,0.48
[./atax,./durbin],./durbin,0.08,./atax,0.49
[./atax,./fdtd-2d],./fdtd-2d,94.76,./atax,0.53
[./atax,./floyd-warshall],./floyd-warshall,169.64,./atax,0.53
[./atax,./gemm],./gemm,45.66,./atax,0.48
[./atax,./gemver],./gemver,0.92,./atax,0.50
[./atax,./gesummv],./atax,0.50,./gesummv,0.26
[./atax,./gramschmidt],./atax,0.51,./gramschmidt,121.73
[./atax,./heat-3d],./heat-3d,146.50,./atax,0.50
[./atax,./jacobi-1d],./jacobi-1d,0.07,./atax,0.48
[./atax,./lu],./atax,0.51,./lu,296.49
[./atax,./ludcmp],./ludcmp,272.95,./atax,0.52
[./atax,./mvt],./mvt,0.71,./atax,0.50
[./atax,./nussinov],./atax,0.48,./nussinov,188.91
[./atax,./symm],./atax,0.51,./symm,72.61
[./atax,./syr2k],./atax,0.48,./syr2k,241.93
[./atax,./syrk],./atax,0.48,./syrk,39.19
[./atax,./trisolv],./atax,0.51,./trisolv,0.22
[./atax,./trmm],./atax,0.48,./trmm,43.15
[./bicg,./cholesky],./bicg,0.48,./cholesky,685.29
[./bicg,./correlation],./bicg,0.46,./correlation,87.99
